transcript,average read density,Spearman's coefficient,Pearson's coefficient
YAL008W,1.84892086331,0.558591607515,0.512435878392
YBR255W,0.143307086614,0.237799512863,0.260449220203
YGR131W,0.0608695652174,0.255596612077,0.33509547773
YNL003C,0.496296296296,0.485449552754,0.518353615694
YBR135W,7.05494505495,0.510156444464,0.724972467099
YBR160W,1.46164574616,0.51991264344,0.51706001637
YJL082W,0.525297619048,0.446898560407,0.397765853696
YPL191C,0.212624584718,0.354720116276,0.355256342694
YGL215W,0.505513146735,0.462299266754,0.336482117517
YKL074C,0.454415954416,0.502201157615,0.5038482585
YJL077C,0.0185185185185,0.350103790362,0.47121781804
YKL096W-A,64.8383838384,0.845157519455,0.826494280327
YIL124W,2.23389355742,0.435872831319,0.417929962303
YPL039W,0.21271076524,0.267244765599,0.416541339432
YGL141W,0.267920094007,0.369088674995,0.346868395286
YJL179W,3.44,0.409446740074,0.442274815886
YDR316W-A,102.132983377,0.624435886903,0.571465476361
YDR316W-B,35.9076257862,0.424964935593,0.328972106929
YOR009W,0.130841121495,0.269319544421,0.273856863868
YKL029C,3.16557377049,0.536379418348,0.531968040619
YPL166W,0.212121212121,0.295943112097,0.394716736532
YKL052C,0.507868383405,0.246540006144,0.294204360258
YHR025W,6.14876957494,0.501112941723,0.413140994882
YOL034W,0.144100580271,0.322995784013,0.361789216371
YBL008W,0.239009816475,0.294019475911,0.297776684848
YIL062C,6.61754385965,0.568418558175,0.403451956398
YOL116W,0.361197110423,0.460134866267,0.463074132064
YDR196C,0.769230769231,0.405452175536,0.434085789274
YBR280C,0.156862745098,0.329325254266,0.318644726435
YNR032W,0.385113268608,0.391931307895,0.420644834287
YNR045W,0.143410852713,0.278561969452,0.327856263036
YML105C,2.54517133956,0.489631935175,0.492925737588
YNL288W,0.763269639066,0.567494033733,0.511770967817
YIL004C,1.17670682731,0.365670809849,0.424118926688
YNR018W,3.9696969697,0.652359648406,0.507196315435
YPL144W,1.21348314607,0.527700550081,0.567680828738
YFR047C,2.09745762712,0.516503062451,0.567425837186
YER087C-B,10.1449275362,0.669471296714,0.889692522781
YHR078W,0.170385395538,0.312483976571,0.361285127909
YJR115W,0.0242424242424,0.185216676495,0.140280855372
YLR355C,69.494047619,0.587050931778,0.634288324975
YGR099W,0.197668256492,0.363982808937,0.383511381621
YLR300W,8.21850899743,0.58119797803,0.534807973016
YCL028W,5.69556840077,0.610474122765,0.506754376965
YJR140C,0.20767778477,0.34992330548,0.369122721134
YOR033C,0.143597719025,0.270470581952,0.268447247845
YOR062C,0.127591706539,0.363076079539,0.405338907752
YBR043C,0.0952380952381,0.292360163331,0.271965622866
YHR112C,0.668756530825,0.461226102981,0.41964978767
YLR011W,0.439393939394,0.437905464015,0.414788855571
YIL044C,1.34588563459,0.617397536658,0.622305915212
YHR126C,8.97,0.162603623832,0.165271378656
YKR084C,1.36835748792,0.526440326632,0.516723961807
YER121W,0.0969696969697,0.304972631653,0.31576187105
YCR046C,1.61212121212,0.414593613256,0.270224266754
YKL204W,1.25712623618,0.545534874102,0.515325971291
YOR266W,0.167582417582,0.378533611919,0.407508281219
YDR393W,0.203190596138,0.307681998497,0.338912630308
YGR186W,1.47781065089,0.45642604555,0.415831664193
YPR194C,0.00937245313773,0.0987324915368,0.0881030047049
YGR019W,1.32038834951,0.503347082347,0.590832061295
YBL033C,1.04895104895,0.406109809174,0.389972495101
YLL057C,0.0122757318225,0.0976955515399,0.0791784574402
YPL060C-A,0.0130043985466,0.0700338606161,0.0710911734038
YNL229C,1.46327683616,0.42016172433,0.449092220247
YNL277W,0.352849336456,0.44230143016,0.454712773801
YMR040W,0.046204620462,0.276265226079,0.328464474726
YDR077W,40.6762246117,0.302991296056,0.261751699594
YMR266W,0.971290082028,0.511350110874,0.448510204007
YKR064W,0.100331674959,0.219503898609,0.226198749984
YPL089C,0.835224203133,0.261052164035,0.0572819257966
YGR277C,0.822493224932,0.37030428294,0.46866180475
YDL139C,0.325203252033,0.193810877813,0.124082295312
YDR246W,0.70625,0.470849485581,0.495141918276
YOR288C,0.71685971686,0.468354032569,0.527362470054
YCR028C,0.442972774099,0.380840512699,0.375783215539
YML054C,0.015664160401,0.0682448740883,0.0793171406108
YLR179C,11.382629108,0.598639721747,0.624566537695
YOR141C,0.673560421736,0.408862621667,0.403551561661
YBL106C,0.134244654749,0.304494225746,0.320782117755
YGL044C,0.988748241913,0.433884831179,0.554220417615
YER107C,1.21241830065,0.509941672791,0.514371352565
YBR038W,0.954646017699,0.489026667021,0.478430007601
YEL047C,2.91321978913,0.450812762533,0.487959713678
YPR016C,6.79569892473,0.564908808708,0.615253250315
YLR157C,0.0803080308031,0.171929909173,0.12631564732
YDL055C,43.2030905077,0.507866928768,0.412217657953
YML072C,2.78331090175,0.548191093825,0.472767183207
YDR142C,0.167721518987,0.341652777302,0.37794912093
YFL044C,0.955922865014,0.478961230419,0.497212175975
YKL019W,0.625162127108,0.439045327509,0.404981780187
YJL130C,6.27006960557,0.577060760619,0.535871687948
YBL085W,0.649294245385,0.43578144159,0.0864941418644
YFL011W,0.0376454483231,-0.0282803277251,-0.0312713814146
