Well,row,column,strain,isolate,RT_NUM,amplicon,Rep,amplicon2,Cy0,eff,fluo
G1,G,1,Y00,5,5,LL005_LL004,1,eCitrine,16.87,2.0566592532685277,651.3351082780172
G10,G,10,Y66,6,9,NM268_NM269,3,mCherry,17.88,1.9442474337385844,615.5419431096237
G3,G,3,MIN,6,3,NM268_NM269,1,mCherry,18.15,1.937573704330348,534.259031526639
G4,G,4,Y99,5,11,NM268_NM269,1,mCherry,18.14,1.8547837911403253,673.8834679600276
G5,G,5,Y00,5,5,LL005_LL004,2,eCitrine,16.8,2.082130458424625,631.2409275417742
G6,G,6,MIN,3,1,NM268_NM269,2,mCherry,18.66,1.991250027303465,562.2106778776439
G7,G,7,Y66,6,9,NM268_NM269,2,mCherry,17.79,1.8456550512477718,662.2330842508303
G8,G,8,Y00,5,5,LL005_LL004,3,eCitrine,16.86,2.042050567886459,648.4615650853436
G9,G,9,MIN,3,1,NM268_NM269,3,mCherry,18.7,1.924674149534415,622.64489884126
H1,H,1,Y00,6,6,LL005_LL004,1,eCitrine,16.8,2.045233179871813,500.47514246940517
H10,H,10,Y99,3,10,NM268_NM269,3,mCherry,18.01,1.978504258801445,538.149205790111
H2,H,2,Y99,3,10,LL008_LL004,1,eCitrine,16.07,2.099264301833345,517.6327202417275
H3,H,3,Y00,3,4,NM268_NM269,1,mCherry,18.12,1.8741677400471395,581.2868884531576
H4,H,4,Y99,6,12,NM268_NM269,1,mCherry,18.67,1.9486218254146277,561.0356238247161
H5,H,5,Y00,6,6,LL005_LL004,2,eCitrine,16.72,2.081982278978252,545.0997467389199
H6,H,6,MIN,5,2,NM268_NM269,2,mCherry,18.36,1.9507871540062294,501.90570576992417
H7,H,7,Y99,3,10,NM268_NM269,2,mCherry,18.26,1.958822486994318,492.40851859451084
H8,H,8,Y00,6,6,LL005_LL004,3,eCitrine,16.71,2.0748185094895994,495.07271048581356
H9,H,9,MIN,5,2,NM268_NM269,3,mCherry,18.45,1.9764089437615568,546.8884461899221
