Well,row,column,Strain,Isolate,RT_NUM,amplicon,Rep,amplicon2,Cy0,eff,fluo
G1,G,1,MIN,5,5,LL009_LL004,1,eCitrine,17.35,1.9150003457298557,491.9294719267017
G10,G,10,Y333,6,9,NM268_NM269,3,mCherry,18.52,1.9067954150682003,310.88982582157314
G3,G,3,CHA2,6,3,NM268_NM269,1,mCherry,18.41,1.9349177943772606,302.55935029779016
G4,G,4,MAX,5,11,NM268_NM269,1,mCherry,18.41,1.9207685276906068,309.99668931209106
G5,G,5,MIN,5,5,LL009_LL004,2,eCitrine,16.99,2.109641109925577,380.3560329159051
G6,G,6,CHA2,3,1,NM268_NM269,2,mCherry,17.94,1.9361750118136005,269.0065891675512
G7,G,7,Y333,6,9,NM268_NM269,2,mCherry,18.64,1.908579770987558,290.74095316213976
G8,G,8,MIN,5,5,LL009_LL004,3,eCitrine,16.81,2.0907158005498983,358.983512658566
G9,G,9,CHA2,3,1,NM268_NM269,3,mCherry,17.98,1.9400003552718585,311.23148840717846
H1,H,1,MIN,6,6,LL009_LL004,1,eCitrine,17.31,2.1336063593485686,283.4663105347862
H10,H,10,MAX,3,10,NM268_NM269,3,mCherry,26.71,1.9802651165565142,248.18257914111686
H2,H,2,MAX,3,10,LL010_LL004,1,eCitrine,23.74,2.0612302750439215,345.5239149685058
H3,H,3,MIN,3,4,NM268_NM269,1,mCherry,18.08,1.9896237079464933,257.40150394951814
H4,H,4,MAX,6,12,NM268_NM269,1,mCherry,18.51,1.9491665741921003,256.9579990721943
H5,H,5,MIN,6,6,LL009_LL004,2,eCitrine,17.03,2.1050965799913106,323.27257458076605
H6,H,6,CHA2,5,2,NM268_NM269,2,mCherry,17.91,2.019000393552993,255.9393772077715
H7,H,7,MAX,3,10,NM268_NM269,2,mCherry,26.94,1.9723813570979964,248.27774484346082
H8,H,8,MIN,6,6,LL009_LL004,3,eCitrine,17.2,2.131798739131826,321.18960245382794
H9,H,9,CHA2,5,2,NM268_NM269,3,mCherry,17.89,1.9802158953674829,263.04973161909516
